abbreviation	last_updated	naloxone_legal_status	gs_exists	gs_scope	pharmacy_mechanism	medicaid_notes	typical_cost	how_to_get_quickly	barriers	sources
KS	2026-07-18	Statewide pharmacy protocol	TRUE	SB 419 (2024) — immunity from prosecution for possession/use for the caller and the person overdosing. Excludes people on parole, probation, or work release.	Statewide protocol.	Covered (no copay).	OTC ~$45	Free kits + test strips mailed by DCCCA (https://www.dccca.org/naloxone) or pharmacy. DCCCA also stocks free vending machines in 8 cities.	The 2024 immunity law has low awareness and excludes people under supervision.	https://www.dccca.org/naloxone/ | https://nextdistro.org/kansas | https://www.kslegislature.gov/li_2024/b2023_24/measures/documents/sb419_enrolled.pdf | https://www.sunflowerhealthplan.com/members/medicaid/benefits-services/co-pays.html
KY	2026-07-18	Pharmacy protocol	TRUE	Protects caller/victim from possession/paraphernalia charges if the caller stays.	Pharmacy protocol.	Covered; 2 kits per 30 days.	OTC ~$45	findnaloxone.ky.gov locator or Pharmacy.	Rural access; use NEXT Distro.	https://findnaloxone.ky.gov | https://nextdistro.org/kentucky
LA	2026-07-18	Statewide standing order	TRUE	Protects caller/victim from possession charges.	Statewide standing order.	Covered (no copay).	OTC ~$45	Pharmacy or NEXT Distro/Trystereo.	Cost minimized by Medicaid/Free programs.	https://trystereo.org/overdose-prevention/ | https://nextdistro.org/louisiana | https://ldh.la.gov/assets/HealthyLa/Pharmacy/NaloxoneStandingOrder.pdf
MA	2026-07-18	Statewide standing order	TRUE	Protects from possession charges plus probation, pretrial, and parole violations.	Statewide standing order.	MassHealth: $0 copay.	OTC ~$45	Pharmacy (no Rx) or free by mail (You Can / NEXT Distro).	Private-insurance copays; free mail (You Can / NEXT Distro) sidesteps it.	https://www.mass.gov/info-details/where-to-get-naloxone-in-massachusetts | https://www.mass.gov/info-details/community-naloxone-program-cnp | https://nextdistro.org/massachusetts
MD	2026-07-18	Statewide standing order	TRUE	Protects caller/victim from possession/paraphernalia charges; felonies excluded.	Statewide standing order.	Covered, $1 copay.	OTC ~$45	Pharmacy or NEXT Distro.	Urban/Rural divide; mail order available.	https://health.maryland.gov/pha/NALOXONE/Pages/Home.aspx | https://stopoverdose.maryland.gov/naloxone/ | https://nextdistro.org/maryland
ME	2026-07-18	Statewide standing order	TRUE	Broad: covers most crimes when you seek help, not just drug charges (excludes violent crimes, OUI).	Standing order.	Covered.	OTC ~$45	Maine Access Points or Pharmacy.	Rural geography; use MAP tiered network.	https://www.maineaccesspoints.org/naloxone | https://getmainenaloxone.org/end-user/ | https://nextdistro.org/maine | https://legislature.maine.gov/statutes/17-a/title17-Asec1111-B.html
MI	2026-07-18	Statewide standing order	TRUE	Limited to personal use amounts.	Standing order.	Covered.	OTC ~$45	Pharmacy or NEXT Distro.	Rural access; mail order is key.	https://www.michigan.gov/opioids | https://nextdistro.org/michigan | https://www.michigan.gov/mdhhs/inside-mdhhs/newsroom/2026/03/05/naloxone
MN	2026-07-18	Statewide protocol	TRUE	Steve's Law: Immunity for possession/sharing.	Protocol.	Covered.	OTC ~$45	Naloxone Finder Tool or Pharmacy.	Rural north; use mail order.	https://steverummlerhopenetwork.org/what-we-do/naloxone-access-points/ | https://www.health.state.mn.us/communities/opioids/basics/naloxone.html | https://nextdistro.org/minnesota
MO	2026-07-18	Statewide standing order	TRUE	Possession/paraphernalia immunity.	Statewide standing order.	Covered.	OTC ~$45	GetMissouriNaloxone.com (free mail) or any pharmacy.	Rural stigma; mail order recommended.	https://getmissourinaloxone.com/ | https://nextdistro.org/missouri | https://health.mo.gov/data/opioids/pdf/naloxone-standing-order.pdf
MS	2026-07-18	Standing order (voluntary pharmacy participation)	TRUE	Narrow: very small amounts only.	Standing order (voluntary participation).	Covered.	OTC ~$45	MSDH free mail (form + short video), NEXT Distro, or MS Harm Reduction.	Pharmacy refusal common; mail order reliable.	https://msdh.ms.gov/page/44,0,382,61.html | https://msharmreduction.org/ | https://nextdistro.org/mississippi | https://odfree.org/prevention/
NC	2026-07-18	Statewide standing order	TRUE	Protects caller/victim from possession charges.	Statewide standing order.	Covered.	OTC ~$45	NCHRC or Pharmacy.	Rural access; NCHRC has wide reach.	https://naloxonesaves-nc.org/ | https://www.nchrc.org | https://nextdistro.org/ncgate | https://www.ncdhhs.gov/about/department-initiatives/overdose-epidemic/syringe-and-naloxone-access
ND	2026-07-18	Pharmacist prescriptive authority	TRUE	Protects up to 3 people/incident.	Pharmacist authority.	Covered.	OTC ~$45	Call ND HHS for mail or Pharmacy.	Rural sparse population; mail order key.	https://www.hhs.nd.gov/opioids | https://nextdistro.org/northdakota
NE	2026-07-18	Statewide standing order	TRUE	Immunity for caller and victim from drug-possession charges (narrow: only those offenses, not homicide or others).	Standing order.	Covered.	OTC ~$45	StopODNE.com pharmacy locator.	Rural awareness; use StopODNE map.	https://stopodne.com/ | https://www.npharm.org/ne-narcanprogram | https://dhhs.ne.gov/Pages/State-Opioid-Response.aspx | https://nebraskalegislature.gov/laws/statutes.php?statute=28-472
NH	2026-07-18	Statewide standing order	TRUE	Caller reporting for another is immune; self-reporter gets only a legal defense.	Standing order.	Covered.	OTC ~$45	Call 2-1-1 or visit Doorway hub.	Travel to hubs; mail order backup.	https://www.thedoorway.nh.gov/ | https://www.nhhrc.org/nhssps | https://nextdistro.org/newhampshire | https://gc.nh.gov/rsa/html/xxx/318-b/318-B-28-b.htm
NJ	2026-07-18	Standing order / Naloxone365	TRUE	Immunity for use/simple possession.	Standing order / Naloxone365.	Covered.	Free (Naloxone365)	Naloxone365 Pharmacy (Free) or NJHRC.	Excellent access via Naloxone365.	https://www.nj.gov/humanservices/stopoverdoses/ | https://njharmreduction.org | https://nextdistro.org/newjersey
NM	2026-07-18	Statewide standing order	TRUE	Protects caller and victim from possession charges.	Standing order.	Covered (no copay).	OTC ~$45	Pharmacy or CORE virtual program.	Rural access; CORE program ships statewide.	https://www.nmharmreduction.org/naloxone-saves/ | https://www.nmhealth.org/about/phd/idb/hrp/ | https://nextdistro.org/newmexico
NV	2026-07-18	Statewide standing order	TRUE	Immunity for possession/use.	Standing order.	Covered.	OTC ~$45	Trac-B vending machines (Vegas) or Pharmacy.	Rural isolation; mail order needed.	https://nextdistro.org/nevada | https://www.leg.state.nv.us/nrs/NRS-453C.html | https://www.tracbexchange.com/
NY	2026-07-18	Statewide standing order	TRUE	Protects helper/victim from possession charges.	Statewide standing order.	Covered; N-CAP knocks up to $40 off a pharmacy copay (no enrollment).	OTC ~$45	Pharmacy or Registered OEND Program.	Cost; use OEND or Medicaid.	https://www.nyc.gov/site/doh/health/health-topics/naloxone.page | https://www.health.ny.gov/diseases/aids/general/opioid_overdose_prevention/ | https://nextdistro.org/newyork
OH	2026-07-18	Statewide standing order	TRUE	Protects seeker, helper, victim.	Standing order.	Covered.	OTC ~$45	Project DAWN site or Pharmacy.	Project DAWN is very widespread.	https://odh.ohio.gov/know-our-programs/project-dawn/ | https://www.harmreductionohio.org/order-naloxone-free-from-harm-reduction-ohio/ | https://nextdistro.org/ohio
